knot_id,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
12n_784,0,0,0,0,0,0,0,0,0,-1,4,-9,14,-18,21,-19,17,-12,6,-2,0,0,0,0,0,0,0,0,0,0
12n_785,0,0,0,0,1,-3,6,-10,13,-15,15,-12,9,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_786,0,0,0,0,0,0,0,0,0,0,0,-1,5,-11,17,-21,24,-22,18,-12,6,-2,0,0,0,0,0,0,0,0
12n_787,0,0,0,0,0,0,0,0,0,0,1,-3,6,-8,11,-12,11,-9,6,-3,1,0,0,0,0,0,0,0,0,0
12n_788,0,0,0,0,0,0,0,0,0,1,-4,9,-13,17,-18,17,-14,9,-5,2,0,0,0,0,0,0,0,0,0,0
12n_789,0,0,0,0,0,0,-1,4,-8,12,-14,15,-14,11,-7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_790,0,0,0,0,0,0,0,0,-2,6,-12,18,-21,23,-20,16,-10,4,-1,0,0,0,0,0,0,0,0,0,0,0
12n_791,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-8,12,-14,16,-14,12,-8,3,-1,0,0,0,0,0,0,0
12n_792,0,0,0,0,0,0,1,-3,6,-9,12,-13,12,-10,7,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_793,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,6,-8,9,-10,9,-7,4,-2,1,0,0,0,0,0,0
12n_794,0,0,0,0,0,0,0,1,-3,7,-11,15,-17,16,-14,10,-5,2,0,0,0,0,0,0,0,0,0,0,0,0
12n_795,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,8,-11,13,-13,11,-9,5,-2,1,0,0,0,0,0,0,0
12n_796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,10,-13,16,-16,14,-11,6,-3,1,0,0,0,0
12n_797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-7,9,-9,9,-8,5,-3,1,0,0,0,0,0
12n_798,0,0,0,0,0,0,0,-3,7,-11,15,-15,15,-12,8,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_799,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,13,-18,22,-23,20,-16,10,-4,1,0,0,0,0,0,0,0
12n_800,0,0,0,0,0,0,1,-5,10,-15,19,-19,18,-14,9,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,2,-3,3,-4,3,-2,1,0,0,0,0,0
12n_802,0,0,0,0,0,0,0,0,-2,6,-11,16,-19,21,-18,14,-9,4,-1,0,0,0,0,0,0,0,0,0,0,0
12n_803,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-8,12,-15,18,-16,14,-10,5,-2,0,0,0,0,0,0,0
12n_804,0,0,0,0,0,0,0,0,0,0,1,-3,7,-10,14,-16,15,-13,9,-5,2,0,0,0,0,0,0,0,0,0
12n_805,0,0,0,0,0,0,0,0,0,1,-3,7,-10,13,-14,13,-11,7,-4,2,0,0,0,0,0,0,0,0,0,0
12n_806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,7,-8,11,-11,9,-8,4,-1,0,0,0,0
12n_807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,8,-10,10,-9,7,-4,1,0,0,0,0,0,0
12n_808,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,-4,6,-6,6,-5,3,-1,0,0,0,0,0,0,0,0
12n_809,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-2,3,-4,3,-3,2,0,0,0,0,0,0,0,0,0
12n_810,0,0,0,0,0,0,0,0,1,-3,6,-8,9,-9,8,-6,4,-1,0,0,0,0,0,0,0,0,0,0,0,0
