Name,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Jones (vector),Genus-4D,Genus-4D (Top.),Determinant,Rasmussen s,Ozsvath-Szabo tau,Arf Invariant,Turaev Genus,Clasp Number,L-space,Epsilon,Quasialternating,Almost Alternating,Adequate,Unknotting Number-Algebraic,Ropelength
8_14,N,8,1,2,4,2,4,9,-2,[-1][-9],10,[9;10],1,{-1; 7; 1; -2; 4; -5; 6; -5; 4; -3; 1},1,1,31,2,1,0,0,2,No,1,Y,N,Y,1,73.7612
8_15,N,8,2,2,4,3,4,9,-4,[3][-13],10,[9;10],1,{2; 10; 1; -2; 5; -5; 6; -6; 4; -3; 1},2,2,33,4,2,0,0,2,No,1,Y,N,Y,2,73.6643
8_16,Y,8,2,3,3,3,3,8,2,[-8][-2],10,9,2,{-6; 2; -1; 3; -5; 6; -6; 6; -4; 3; -1},1,1,35,-2,-1,1,0,3,No,-1,Y,N,Y,2,73.5054
8_17,Y,8,1,3,4,3,3,8,0,[-5][-5],10,9,2,{-4; 4; 1; -3; 5; -6; 7; -6; 5; -3; 1},1,1,37,0,0,1,0,3,No,0,Y,N,Y,1,74.4912
8_18,Y,8,2,3,4,3,3,8,0,[-5][-5],10,9,2,{-4; 4; 1; -4; 6; -7; 9; -7; 6; -4; 1},1,1,45,0,0,1,0,3,No,0,Y,N,Y,2,74.9063
8_19,Y,8,3,3,2,3,3,8,-6,[5][-12],7,8,1,{3; 8; 1; 0; 1; 0; 0; -1},3,3,3,6,3,1,1,3,Yes,1,N,Y,,3,60.9858
8_20,Y,8,1,2,2,3,3,8,0,[-6][-2],8,8,1,{-5; 1; -1; 1; -1; 2; -1; 2; -1},0,0,9,0,0,0,1,2,No,0,Y,Y,,1,63.0929
8_21,Y,8,1,2,3,3,3,8,-2,[1][-9],8,9,1,{1; 7; 2; -2; 3; -3; 2; -2; 1},1,1,15,2,1,0,1,2,No,1,Y,Y,,1,65.5248
9_1,Y,9,4,4,1,2,2,9,-8,[7][-18],11,[9;10],1,{4; 13; 1; 0; 1; -1; 1; -1; 1; -1; 1; -1},4,4,9,8,4,0,0,4,Yes,1,Y,N,Y,4,75.5461
9_2,N,9,1,1,2,2,5,12,-2,[1][-12],11,[9;10],1,{1; 10; 1; -1; 2; -2; 2; -2; 2; -1; 1; -1},1,1,15,2,1,0,0,1,No,1,Y,N,Y,1,78.1024
9_3,N,9,3,3,2,2,3,10,-6,[5][-16],11,[9;10],1,{3; 12; 1; -1; 2; -2; 3; -3; 3; -2; 1; -1},3,3,19,6,3,1,0,3,No,1,Y,N,Y,3,78.1892
9_4,N,9,2,2,2,2,4,11,-4,[3][-14],11,[9;10],1,{2; 11; 1; -1; 2; -3; 4; -3; 3; -2; 1; -1},2,2,21,4,2,1,0,2,No,1,Y,N,Y,2,78.2665
9_5,N,9,2,1,3,2,5,12,-2,[1][-12],11,[9;10],1,{1; 10; 1; -2; 3; -3; 4; -3; 3; -2; 1; -1},1,1,23,2,1,0,0,2,No,1,Y,N,Y,1,78.6447
9_6,N,9,3,3,3,2,3,10,-6,[5][-16],11,[9;11],1,{3; 12; 1; -1; 3; -3; 4; -5; 4; -3; 2; -1},3,3,27,6,3,1,0,3,No,1,Y,N,Y,3,79.5597
9_7,N,9,2,2,3,2,4,11,-4,[3][-14],11,[9;10],1,{2; 11; 1; -1; 3; -4; 5; -5; 4; -3; 2; -1},2,2,29,4,2,1,0,2,No,1,Y,N,Y,2,79.6731
9_8,N,9,2,2,3,2,5,10,-2,[-3][-8],11,[9;10],1,{-3; 6; 1; -2; 3; -4; 5; -5; 5; -3; 2; -1},1,1,31,2,1,0,0,2,No,1,Y,N,Y,1,80.008
9_9,N,9,3,3,3,2,3,10,-6,[5][-16],11,[9;10],1,{3; 12; 1; -1; 3; -4; 5; -5; 5; -4; 2; -1},3,3,31,6,3,0,0,3,No,1,Y,N,Y,3,79.8778
9_10,N,9,3,2,3,2,4,11,-4,[3][-14],11,[9;10],1,{2; 11; 1; -2; 4; -5; 6; -5; 5; -3; 1; -1},2,2,33,4,2,0,0,3,No,1,Y,N,Y,2,79.7855
9_11,Y,9,2,3,3,2,4,9,4,[-12][1],11,[9;10],1,{-9; 0; -1; 2; -4; 5; -5; 6; -4; 3; -2; 1},2,2,33,-4,-2,0,0,3,No,-1,Y,N,Y,2,80.118
9_12,N,9,1,2,3,2,5,10,-2,[-1][-10],11,[9;10],1,{-1; 8; 1; -2; 4; -5; 6; -6; 5; -3; 2; -1},1,1,35,2,1,1,0,2,No,1,Y,N,Y,1,80.0834
9_13,N,9,3,2,3,2,4,11,-4,[3][-14],11,[9;10],1,{2; 11; 1; -2; 4; -5; 7; -6; 5; -4; 2; -1},2,2,37,4,2,1,0,3,No,1,Y,N,Y,2,80.2498
