knot_id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
12a_1267,4,-16,32,-41,32,-16,4,0,0,0,0
12a_1268,2,-10,26,-45,55,-45,26,-10,2,0,0
12a_1269,4,-17,38,-51,38,-17,4,0,0,0,0
12a_1270,2,-11,30,-53,63,-53,30,-11,2,0,0
12a_1271,4,-20,44,-55,44,-20,4,0,0,0,0
12a_1272,2,-10,25,-40,47,-40,25,-10,2,0,0
12a_1273,1,-3,5,-7,9,-11,9,-7,5,-3,1
12a_1274,2,-7,13,-17,17,-17,13,-7,2,0,0
12a_1275,4,-16,33,-43,33,-16,4,0,0,0,0
12a_1276,2,-6,10,-13,13,-13,10,-6,2,0,0
12a_1277,4,-14,26,-33,26,-14,4,0,0,0,0
12a_1278,3,-7,7,-7,7,-7,3,0,0,0,0
12a_1279,6,-17,21,-17,6,0,0,0,0,0,0
12a_1280,1,-9,28,-51,63,-51,28,-9,1,0,0
12a_1281,4,-13,23,-29,23,-13,4,0,0,0,0
12a_1282,6,-16,19,-16,6,0,0,0,0,0,0
12a_1283,1,-3,6,-10,13,-15,13,-10,6,-3,1
12a_1284,2,-7,15,-24,27,-24,15,-7,2,0,0
12a_1285,2,-6,11,-16,17,-16,11,-6,2,0,0
12a_1286,3,-7,8,-9,8,-7,3,0,0,0,0
12a_1287,9,-19,9,0,0,0,0,0,0,0,0
12a_1288,1,-3,7,-14,21,-25,21,-14,7,-3,1
12n_1,1,-5,13,-19,13,-5,1,0,0,0,0
12n_2,1,-5,11,-16,17,-16,11,-5,1,0,0
12n_3,1,-7,17,-23,17,-7,1,0,0,0,0
12n_4,1,-7,19,-27,19,-7,1,0,0,0,0
12n_5,1,-7,21,-29,21,-7,1,0,0,0,0
12n_6,1,-5,9,-6,3,-6,9,-5,1,0,0
12n_7,1,-5,9,-9,9,-5,1,0,0,0,0
12n_8,1,-5,9,-10,11,-10,9,-5,1,0,0
12n_9,1,-7,17,-21,17,-7,1,0,0,0,0
12n_10,1,-5,9,-9,9,-5,1,0,0,0,0
12n_11,3,-15,25,-15,3,0,0,0,0,0,0
